Provider,Plan Name,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
Dropbox,Plus,12.99,15.99,null,,null,,https://www.dropbox.com/plans?billing=monthly,,
Dropbox,Essentials,23.25,27.99,3 TB,,"- Transfer files up to 100 GB
- 180 days to restore deleted files",,https://www.dropbox.com/plans?billing=monthly,,
Dropbox,Business,21,25,9 TB,,"- Transfer files up to 100 GB
- 180 days to restore deleted files",,https://www.dropbox.com/plans?billing=monthly,,
Dropbox,Business Plus,33,39.50,15 TB,,"- Transfer files up to 250 GB
- 1 year to restore deleted files",,https://www.dropbox.com/plans?billing=monthly,,
