Provider,Plan Name,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
Microsoft,Microsoft 365 Family,CAD $109.00,CAD $11.00 ,6 TB,,"- Ad-free Outlook web, desktop, and mobile email and calendar with advanced security","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
Microsoft,Microsoft 365 Personal,Free,CAD $8.00,1 TB,,"- Ad-free Outlook web, desktop, and mobile email and calendar with advanced security","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
Microsoft,Microsoft 365 Basic,null,CAD $2.00,100 GB,,"- Ad-free Outlook and mobile email and calendar with advanced security features","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
Microsoft,Microsoft 365,null,Free,5 GB,,"- Outlook.com email and calendar","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
