Provider,Plan Name,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
iCloud,iCloud+,,1.29,50GB,,"Storage for thousands of photos, videos and files.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
iCloud,iCloud+,,3.99,200GB,,"Great for family sharing or larger media libraries.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
iCloud,iCloud+,,12.99,2TB,,"Plenty of space for all the family�s photos, videos and files.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
